genes,logFC,logCPM,LR,PValue,FDR,AGI,At_symbol,At_short_description,perc_ID
BraA09g050940.3C,-2.607914720289903,6.295029738897412,113.53821733833077,1.644803691212221e-26,2.843905496103019e-22,AT3G61390,NA,RING/U-box superfamily protein,79.045
BraA04g006310.3C,-4.004460436820764,3.8067166096545533,112.89538899259642,2.2746497348070092e-26,2.843905496103019e-22,AT3G53150,UGT73D1,NA,88.216
BraA01g040810.3C,-4.123412870392198,6.247868650235076,112.38314365480373,2.9452211020122404e-26,2.843905496103019e-22,AT3G09270,ATGSTU8,NA,84.802
BraA09g034290.3C,-2.795149052443957,6.790723283376857,102.84100744646382,3.631541024931115e-24,2.629962010255113e-20,AT1G30700,AtBBE8,FAD-binding Berberine family protein,85.687
BraA06g038620.3C,-1.920158276938052,5.607861389763784,101.41798999813659,7.448423886889231e-24,4.315318863108145e-20,AT3G25882,NIMIN-2,NIM1-interacting 2,83.43
BraA10g025440.3C,-3.438250986977292,4.408244711211326,98.51016847709555,3.23359977761974e-23,1.5611819726348104e-19,AT5G13320,AtGH3.12,Auxin-responsive GH3 family protein,83.353
BraA06g042110.3C,-2.452878267454595,3.706923206419758,97.67582410684619,4.928025678642903e-23,2.0393578265561088e-19,AT5G46090,DMP6,Protein of unknown function (DUF679),81.672
BraA05g015290.3C,-1.3845335536698498,6.937490225310111,94.79177737198047,2.1150236166516732e-22,7.658500515895709e-19,AT4G13510,AMT1;1,ammonium transporter 1;1,86.079
BraA02g044830.3C,-1.7577381744075724,5.019581989444253,92.29495505091377,7.467441986928859e-22,2.403520660859502e-18,AT5G64870,NA,SPFH/Band 7/PHB domain-containing membrane-associated protein family,89.117
BraA10g026320.3C,-2.1249957396961237,6.686974624495508,92.04845284565623,8.45800423709646e-22,2.4501146674021027e-18,AT5G11920,AtcwINV6,6-&1-fructan exohydrolase,82.226
BraA06g008660.3C,-1.4266747276847673,5.034451946259433,91.8207322662388,9.489504876128237e-22,2.499017975015298e-18,AT1G13110,CYP71B7,"cytochrome P450, family 71 subfamily B, polypeptide 7",83.832
BraA05g014740.3C,-2.436269110898001,6.153065497427266,88.83392207688533,4.293893083873418e-21,1.0365457904470431e-17,AT2G30670,NA,NAD(P)-binding Rossmann-fold superfamily protein,87.959
BraA09g018030.3C,-5.178281375295505,3.245006653636703,88.03163480792418,6.441596271664168e-21,1.4353858522889817e-17,AT1G58320,NA,PLAC8 family protein,90.16
