BraA05001655,AT5G36230.1,91.909,1236,100,0,1,1236,1,1236,0.0,1779
BraA01003655,AT4G12730.1,85.632,1218,157,4,1,1206,1,1212,0.0,1406
BraA01003656,AT3G48900.2,85.884,1849,198,6,1,1837,1,1798,0.0,2188
BraA01003657,AT3G48880.1,87.957,930,112,0,1,930,1,930,0.0,1173
BraA01003658,AT3G48870.1,89.243,2733,286,4,59,2787,131,2859,0.0,3593
BraA01003659,AT3G48860.2,83.333,252,27,2,1,237,1483,1734,4.78e-72,269
BraA05001656,AT5G36220.1,87.744,1281,157,0,1,1281,220,1500,0.0,1602
BraA01003662,AT3G48810.1,86.486,1961,256,3,1,1958,1,1955,0.0,2336
BraA01003664,AT3G48800.1,70.907,849,109,15,1,723,1,837,2.04e-133,475
BraA01003665,AT3G48780.1,87.500,1432,148,5,45,1446,40,1470,0.0,1781
BraA01003666,AT3G48750.1,92.542,885,66,0,55,939,1,885,0.0,1299
BraA01003668,AT5G58350.1,91.743,218,18,0,1,218,1,218,1.18e-84,313
BraA01003670,AT3G48740.1,89.043,867,84,2,6,863,6,870,0.0,1137
BraA01003671,AT3G48690.1,83.110,971,154,6,1,966,1,966,0.0,994
BraA05001657,AT5G36170.1,84.515,1382,180,5,1,1359,1,1371,0.0,1535
BraA01003672,AT4G27650.1,91.293,1137,99,0,1,1137,1,1137,0.0,1604
BraA01003673,AT3G48700.1,81.802,555,89,2,1,543,1,555,6.12e-155,547
BraA01003674,AT3G48660.1,88.835,206,23,0,1,206,1,206,1.45e-71,268
BraA01003675,AT3G48610.1,90.451,1529,146,0,15,1543,27,1555,0.0,2100
BraA03004205,AT3G20560.1,89.485,1417,146,1,153,1569,39,1452,0.0,1882
BraA03004206,AT3G20570.1,83.607,610,91,3,9,615,9,612,0.0,645
BraA03004207,AT3G20580.1,86.743,1999,259,1,12,2004,9,2007,0.0,2412
BraA03004208,AT3G20600.1,78.399,662,104,6,5,636,8,660,1.91e-158,558
BraA03004209,AT3G20630.1,88.990,2298,250,1,162,2456,93,2390,0.0,3002
BraA03004210,AT3G20640.1,80.532,1166,116,19,59,1146,233,1365,0.0,1094
BraA05001658,AT1G64870.1,75.193,907,204,6,1,891,1,902,4.03e-175,614
BraA03004212,AT3G20750.1,71.547,601,117,11,1,559,1,589,1.47e-84,313
BraA03004213,AT3G20770.1,83.650,1052,136,7,1,1028,1,1040,0.0,1122
BraA03004214,AT3G20865.1,88.268,179,18,1,13,188,10,188,3.97e-59,226
BraA03004215,AT3G20890.1,81.456,879,118,5,1,834,1,879,0.0,868
BraA03004216,AT3G20898.1,83.190,232,21,3,186,414,108,324,1.00e-64,246
BraA03004217,AT3G20910.1,78.186,926,136,15,1,893,16,908,0.0,751
BraA03004218,AT3G20920.1,88.982,953,102,1,46,995,82,1034,0.0,1243
BraA03004219,AT3G21055.1,85.981,321,36,1,1,321,1,312,5.13e-105,379
BraA05001659,AT1G49290.1,77.224,281,63,1,659,938,698,978,4.09e-55,215
BraA03004220,AT3G21070.2,84.824,1588,208,6,3,1578,6,1572,0.0,1781
BraA03004221,AT3G21110.1,88.048,1255,114,4,1,1240,1,1234,0.0,1602
BraA03004222,AT1G51540.1,83.415,1224,188,4,40,1254,31,1248,0.0,1288
BraA03004223,AT1G51550.1,72.835,1351,327,12,55,1379,58,1394,0.0,764
BraA03004224,AT3G21140.1,84.433,1182,133,7,1,1149,1,1164,0.0,1317
BraA03004225,AT3G21150.1,70.866,635,122,9,1,611,1,596,1.04e-88,327
BraA03004226,AT3G21160.1,86.636,1721,223,3,1,1716,1,1719,0.0,2060
BraA03004227,AT3G21180.1,91.316,3282,261,4,1,3279,1,3261,0.0,4637
BraA03004228,AT1G51650.1,87.793,213,26,0,1,213,1,213,1.48e-71,268
BraA03004229,AT3G21220.1,82.212,208,37,0,2,209,425,218,1.25e-53,208
BraA05001660,AT4G18780.1,81.328,723,84,3,1,675,1,720,0.0,728
BraA03004230,AT3G21220.1,84.639,319,49,0,1,319,685,1003,2.06e-97,354
BraA03004232,AT3G21220.1,83.230,972,163,0,12,983,57,1028,0.0,1018
BraA03004233,AT3G21230.1,89.011,637,70,0,30,666,1077,1713,0.0,834
BraA03004234,AT3G21230.1,82.049,1103,166,8,1,1093,1,1081,0.0,1090
